Dataset,Seed,marginal_ks,marginal_wasserstein,correlation_mae,tstr_acc,trtr_acc,tstr_minus_trtr
BreastCancer,42,0.4811570351758794,0.26202185339918704,0.4029238185102001,0.8301693925233644,0.962543808411215,-0.1323744158878506
BreastCancer,123,0.48056297440181595,0.25778037852744756,0.38471505436031966,0.9141355140186915,0.970356308411215,-0.05622079439252348
BreastCancer,456,0.47662036162432886,0.25740638011660366,0.4038843673835043,0.7922021028037383,0.9562646028037383,-0.1640625
BreastCancer,789,0.48084155111396587,0.2611705285330769,0.39703839808749364,0.71875,0.9875146028037383,-0.26876460280373826
BreastCancer,101,0.47746646751811106,0.260431542364003,0.4078041519513576,0.8595210280373832,0.9672167056074766,-0.10769567757009346
PimaDiabetes,42,0.3725662886683899,0.18991643139294972,0.1822621067419338,0.5777777777777777,0.7228395061728395,-0.14506172839506182
PimaDiabetes,123,0.40777208773018825,0.2184768295229838,0.18715054546468074,0.5207407407407407,0.7693827160493827,-0.24864197530864196
PimaDiabetes,456,0.4254126539092248,0.23228037287808226,0.1828274123653824,0.6137037037037036,0.751358024691358,-0.1376543209876544
PimaDiabetes,789,0.36452513966480443,0.17522563577370526,0.17750109835624883,0.457037037037037,0.7346913580246913,-0.2776543209876543
PimaDiabetes,101,0.41459803830115083,0.2204153905452358,0.18821417959285,0.6496296296296296,0.7370370370370369,-0.08740740740740738
BloodTransfusion,42,0.5081261950286806,0.2854145383682746,0.5396223241335841,0.5,0.685672514619883,-0.185672514619883
BloodTransfusion,123,0.4475441931679157,0.23888702889358912,0.39786180098670715,0.40692007797270957,0.6106237816764133,-0.20370370370370372
BloodTransfusion,456,0.4115678776290631,0.20814617640694366,0.5252056825681808,0.621832358674464,0.6442495126705653,-0.022417153996101336
BloodTransfusion,789,0.4513532103396436,0.23973888367476706,0.428923607236449,0.5433723196881092,0.692495126705653,-0.14912280701754388
BloodTransfusion,101,0.5351297459710461,0.27027336073231484,0.48162240527697203,0.5428849902534113,0.6496101364522417,-0.10672514619883045
MAGIC04,42,0.46604761904761904,0.230075036126282,0.28498268689963024,0.7154570596620329,0.769827442667024,-0.054370383004991085
MAGIC04,123,0.47161904761904766,0.2229822577893366,0.2949999763920968,0.6511917380409931,0.7653155293477423,-0.11412379130674921
MAGIC04,456,0.43950000000000006,0.22237437518807268,0.2886704126285335,0.7295451130415007,0.7625174120867295,-0.0329722990452288
MAGIC04,789,0.4411666666666667,0.22046106434572632,0.2854147827588197,0.7661460300442258,0.7734824579571713,-0.007336427912945531
MAGIC04,101,0.47716666666666663,0.24370135160762704,0.2739078967690645,0.7388430658268254,0.7634677160621677,-0.024624650235342327
Banknote,42,0.2826121794871795,0.1462641368043145,0.4386325347936646,0.881451786097788,0.9683346457632376,-0.08688285966544962
Banknote,123,0.23307291666666666,0.10843147898586539,0.40050066719834065,0.8634714964087145,0.988534135108693,-0.12506263869997858
Banknote,456,0.24244791666666665,0.12162345803100867,0.42473159406634764,0.8536402033073234,0.967236977115995,-0.11359677380867161
Banknote,789,0.25551183662851196,0.13142542292359963,0.4467916236128502,0.9043954470613501,0.9683346457632376,-0.06393919870188747
Banknote,101,0.23822449600278067,0.11945577843453394,0.4498763333081339,0.8481757224330064,0.9732502923139332,-0.1250745698809268
Ionosphere,42,0.3062785770045723,0.1583641845304501,0.23985050249000384,0.5657894736842105,0.8184984520123839,-0.2527089783281734
Ionosphere,123,0.31823301600819165,0.1637292810506959,0.2529017322127738,0.6826625386996904,0.7991486068111455,-0.11648606811145512
Ionosphere,456,0.29993815708101423,0.15147261588588973,0.23475213047778215,0.4779411764705882,0.8285603715170279,-0.3506191950464397
Ionosphere,789,0.322268981502431,0.16730987810442335,0.24385909473322717,0.6017801857585139,0.8738390092879257,-0.2720588235294118
Ionosphere,101,0.2997723977817655,0.14466671444426396,0.23865011199528202,0.6153250773993808,0.831656346749226,-0.21633126934984515
Sonar,42,0.522816091954023,0.2592975283218769,0.2385394229436141,0.5,0.7961460446247464,-0.29614604462474636
Sonar,123,0.5331034482758621,0.27546414364088384,0.24205379895179746,0.43407707910750504,0.7885395537525355,-0.35446247464503045
Sonar,456,0.5199338686820973,0.2702191605923165,0.24027289489568932,0.5344827586206896,0.7494929006085194,-0.21501014198782975
Sonar,789,0.5205109431585577,0.2722734446870107,0.24461747975908082,0.5339756592292089,0.7150101419878296,-0.18103448275862077
Sonar,101,0.5052521698334506,0.2614865617858947,0.2426889139307452,0.5,0.7910750507099391,-0.2910750507099391
Wine,42,0.2706004962779156,0.12246062107376712,0.321409898724794,0.580952380952381,0.9682539682539683,-0.38730158730158726
Wine,123,0.2628035634381483,0.11608533154547208,0.30841643648245987,0.5455026455026455,0.9841269841269842,-0.4386243386243387
Wine,456,0.2899493635134862,0.1377911542790784,0.31352857547963076,0.6042328042328042,1.0,-0.39576719576719577
Wine,789,0.2501210433940568,0.11878781574007502,0.2975978871244017,0.6772486772486772,0.9523809523809524,-0.27513227513227523
Wine,101,0.2854657144586335,0.1285404044749219,0.31325387689744016,0.5523809523809524,0.9682539682539683,-0.41587301587301584
WisconsinOriginal,42,0.5514896172322951,0.244875398121194,0.5752630570734374,0.7766290726817042,0.9603696741854637,-0.18374060150375948
WisconsinOriginal,123,0.5426519213130092,0.21445687735806934,0.5835457689952233,0.9539995822890559,0.9748329156223893,-0.02083333333333337
WisconsinOriginal,456,0.541064708823452,0.24677456705027628,0.6103114780635407,0.9207393483709273,0.9496658312447785,-0.028926482873851245
WisconsinOriginal,789,0.5413319434860128,0.2523592006976634,0.6111914801831738,0.8802213868003341,0.9539995822890559,-0.07377819548872178
WisconsinOriginal,101,0.5394293351929336,0.25836967044277803,0.6161886726132699,0.8466478696741855,0.9710735171261486,-0.12442564745196316
Waveform,42,0.5205857142857143,0.234393187097983,0.09673131575390338,0.5431695030056728,0.8735024553382441,-0.3303329523325713
Waveform,123,0.5285661112472433,0.23712093140209686,0.09535449512810065,0.673757514181695,0.8703644907289815,-0.19660697654728643
Waveform,456,0.5274571510180766,0.23690648175686632,0.09497453883701967,0.41116332232664465,0.8691315299297265,-0.4579682076030819
Waveform,789,0.5218489425550157,0.23520162335575545,0.09517623747277351,0.47728812124290915,0.8651945220557108,-0.38790640081280164
Waveform,101,0.5187857142857142,0.23550053752148808,0.09458195533372427,0.6122258911184489,0.8645859791719585,-0.2523600880535095
Vehicle,42,0.8199103291108367,0.3717421122619077,0.41364890296163176,0.25,0.4210136217948718,-0.17101362179487178
Vehicle,123,0.8322072072072072,0.3776459001678477,0.42052704050114903,0.25,0.40905448717948717,-0.15905448717948717
Vehicle,456,0.8045232732732733,0.36638199836107205,0.41495612220707256,0.25,0.3810296474358974,-0.1310296474358974
Vehicle,789,0.8157745308760537,0.36820351098412935,0.4114626489449775,0.25,0.39993990384615385,-0.14993990384615385
Vehicle,101,0.8251704987816099,0.38000013926723136,0.40779227893400344,0.25,0.42858573717948717,-0.17858573717948717
Segment,42,0.4991063944829858,0.22519804255865758,0.28580559544033873,0.35209235209235207,0.8023088023088023,-0.45021645021645024
Segment,123,0.4887033898600207,0.22341657885327462,0.2896520452080374,0.37518037518037517,0.8268398268398267,-0.45165945165945154
Segment,456,0.5042575295091629,0.2275713399306699,0.2823370901368693,0.3823953823953824,0.8008658008658008,-0.41847041847041844
Segment,789,0.4962831664902828,0.22587626726726878,0.2865918443969202,0.3246753246753246,0.8152958152958153,-0.4906204906204907
Segment,101,0.4993470435478922,0.22820694850076734,0.28325044214899325,0.38095238095238093,0.8037518037518038,-0.42279942279942284
Spambase,42,0.956289411486818,0.48879742604767196,0.06325794295895962,0.5383284138027972,0.822205091714105,-0.2838766779113079
Spambase,123,0.9677999346191566,0.4849356784220014,0.06402051578852774,0.5,0.8444462014196359,-0.3444462014196359
Spambase,456,0.9674893756129455,0.48509470404984767,0.06255960833944406,0.5,0.8037766181741514,-0.30377661817415136
Spambase,789,0.9667493754972452,0.4827154639850871,0.06350010924813632,0.5,0.8174711416824795,-0.3174711416824795
Spambase,101,0.9674948240165632,0.48627767332096195,0.06387200099099015,0.5313422411975544,0.8255136956216178,-0.29417145442406345
WineQuality,42,0.5226542412694898,0.269571113351081,0.26081762799972563,0.25407805834765257,0.4259967693552303,-0.17191871100757772
WineQuality,123,0.5202831037447267,0.2667978691761414,0.2529515749450836,0.16446405764433664,0.2657606250471033,-0.10129656740276666
WineQuality,456,0.5469381263492664,0.28098773177682,0.25137410105564845,0.2133691758776413,0.41032869092811086,-0.19695951505046957
WineQuality,789,0.5557005489364081,0.28014288183640956,0.2551558481214377,0.22623489673866354,0.4477580363726076,-0.22152313963394404
WineQuality,101,0.5461508639196416,0.27822872533537735,0.25921972774019775,0.08471713156520286,0.40594529665414786,-0.32122816508894503
