Dataset,Seed,kdtree_bal_acc,kdtree_mia_rf
BreastCancer,42,0.7578125,0.5273884040083459
BreastCancer,123,0.8078271028037383,0.5002938669957977
BreastCancer,456,0.6484375,0.4476916747480091
BreastCancer,789,0.7600759345794392,0.5044520849863352
BreastCancer,101,0.7242990654205608,0.48034029798113376
PimaDiabetes,42,0.7024691358024692,0.5206494312639564
PimaDiabetes,123,0.6961728395061728,0.5181665014067249
PimaDiabetes,456,0.5232098765432098,0.4985126605238337
PimaDiabetes,789,0.6093827160493827,0.47700468370859433
PimaDiabetes,101,0.5634567901234568,0.497706514466291
BloodTransfusion,42,0.5516569200779726,0.49677501593371576
BloodTransfusion,123,0.4907407407407407,0.48863819842787337
BloodTransfusion,456,0.5258284600389864,0.5277416613554281
BloodTransfusion,789,0.5687134502923976,0.49691098364138514
BloodTransfusion,101,0.45370370370370366,0.4479413639260676
MAGIC04,42,0.6014936829152402,0.5075050925925926
MAGIC04,123,0.6529258397397629,0.5082074074074074
MAGIC04,456,0.538856873662366,0.5030383597883599
MAGIC04,789,0.7068373152694356,0.5093880952380953
MAGIC04,101,0.7228219154716797,0.5157046296296296
Banknote,42,0.8700217147493259,0.5132104571197411
Banknote,123,0.880914882955115,0.48183909789644014
Banknote,456,0.8781707113370081,0.49882938915857605
Banknote,789,0.8973083255780657,0.4685452063106796
Banknote,101,0.8579592908106044,0.5310110740291262
Ionosphere,42,0.4729102167182663,0.5209664998074701
Ionosphere,123,0.35178018575851394,0.5021370812475934
Ionosphere,456,0.6923374613003096,0.48898729303041977
Ionosphere,789,0.5499226006191951,0.48188294185598773
Ionosphere,101,0.6091331269349844,0.5373122834039276
Sonar,42,0.537525354969574,0.5155993431855501
Sonar,123,0.5,0.5300492610837438
Sonar,456,0.5147058823529411,0.5434592227695676
Sonar,789,0.4974645030425964,0.45199781061850025
Sonar,101,0.5344827586206896,0.4745484400656815
Wine,42,0.5042328042328043,0.46326164874551967
Wine,123,0.6460317460317461,0.5053763440860215
Wine,456,0.7291005291005291,0.467741935483871
Wine,789,0.5306878306878308,0.4447431302270012
Wine,101,0.22275132275132278,0.6148446833930705
WisconsinOriginal,42,0.9369256474519632,0.4929788753954485
WisconsinOriginal,123,0.9053884711779449,0.5455964894376977
WisconsinOriginal,456,0.8802213868003341,0.45921522604347387
WisconsinOriginal,789,0.8567773600668338,0.5206092458414124
WisconsinOriginal,101,0.880795739348371,0.5222777834472905
Waveform,42,0.5339302345271356,0.5077304761904762
Waveform,123,0.5588434510202354,0.5104110476190477
Waveform,456,0.578486156972314,0.4957748571428572
Waveform,789,0.5439579629159258,0.49066514285714286
Waveform,101,0.5366342816018965,0.49586304761904765
Vehicle,42,0.3192307692307692,0.4744227495211747
Vehicle,123,0.34435096153846156,0.5006982868695466
Vehicle,456,0.2586538461538461,0.49223238987018514
Vehicle,789,0.25,0.505479889338157
Vehicle,101,0.35673076923076924,0.48455455948074055
Segment,42,0.4588744588744588,0.5075175288533359
Segment,123,0.3795093795093795,0.49935212180110145
Segment,456,0.47907647907647904,0.49589543281565546
Segment,789,0.2972582972582973,0.49737636101272464
Segment,101,0.2611832611832612,0.499269129139259
Spambase,42,0.5005973715651135,0.5175407369760863
Spambase,123,0.5,0.5049580374289941
Spambase,456,0.5244922341696535,0.5072115579222906
Spambase,789,0.5095579450418161,0.4944027417345429
Spambase,101,0.5041816009557945,0.4958510800976878
WineQuality,42,0.16808247116620967,0.4966475500893799
WineQuality,123,0.18646221025335205,0.5005045874146379
WineQuality,456,0.19047619047619047,0.49028748174338677
WineQuality,789,0.1770234957150845,0.48798492102428764
WineQuality,101,0.20481802307454902,0.5077878905787417
