Dataset,Seed,n_classes,total_eps,flat_LR_bal_acc,flat_LR_auprc,flat_LR_MIA,flat_LR_MIA_rf,flat_LR_AIA,flat_RF_bal_acc,flat_RF_MIA_rf,dpgbc_bal_acc,dpgbc_mlp_bal_acc,dpgbc_MIA,dpgbc_MIA_rf,dpgbc_AIA,boundary_rate,MIA_positive_control,dplc_bal_acc,dplc_auprc,dplc_MIA,dplc_MIA_rf,dplc_mean_radius,class_collapse
BreastCancer,42,2,3.0,0.5390625,0.9539563002941895,0.5145611096417761,0.8029621793176409,0.08187134502923976,0.5,0.8029621793176409,0.7740946261682242,0.8004526869158879,0.4903391225131506,0.5227159187751624,-0.2573099415204678,0.5,0.6174439448705515,0.796875,0.9688658143485819,0.5454759175996944,0.5227159187751624,2.6630395352475786,0
BreastCancer,123,2,3.0,0.5192026869158879,0.6091439865001609,0.4534220811660642,0.7472303035646067,-0.05847953216374269,0.5,0.7472303035646067,0.8642669392523364,0.7335718457943925,0.48733433248111907,0.487466572629228,0.023391812865497075,0.5,0.5529254459431662,0.9250146028037383,0.9773262161511485,0.47897381645067444,0.487466572629228,2.676606783443899,0
BreastCancer,456,2,3.0,0.484375,0.8061036731643317,0.5344999853066502,0.7787181521643305,-0.011695906432748537,0.4953271028037383,0.7787181521643305,0.6796875,0.7803008177570093,0.4821843133797643,0.5027623497604985,-0.18128654970760238,0.6666666666666666,0.5399438714038026,0.671875,0.9792868683920619,0.4723324223456464,0.5027623497604985,2.666896256697378,0
BreastCancer,789,2,3.0,0.8344042056074766,0.9520504596335145,0.5089335566722502,0.46128302330365273,-0.08187134502923976,0.5,0.46128302330365273,0.6047021028037383,0.8440420560747663,0.5036439507478914,0.5082576625819154,-0.24561403508771928,0.8,0.5822680654735667,0.8312646028037383,0.9777130665793914,0.4860266243498193,0.5082576625819154,2.666228383028353,0
BreastCancer,101,2,3.0,0.5,0.5531783982524625,0.4811190455199976,0.7957624379205971,0.017543859649122806,0.5,0.7957624379205971,0.8127190420560748,0.6798335280373832,0.5069646478004056,0.5077727820388492,-0.3391812865497076,0.8571428571428571,0.6224470304740075,0.5906834112149533,0.9066279953484225,0.5086984630756121,0.5077727820388492,2.6524435708601724,0
PimaDiabetes,42,2,3.0,0.6890123456790123,0.7805638382085215,0.4455004957798254,0.4498698074117068,0.004329004329004349,0.49283950617283956,0.4498698074117068,0.5454320987654321,0.5567901234567901,0.47229679073254494,0.5389005780067233,0.1904761904761904,0.75,0.7436092771288302,0.6459259259259259,0.8153674358365891,0.5374575765637217,0.5389005780067233,1.238754519597914,0
PimaDiabetes,123,2,3.0,0.45728395061728394,0.551556145266514,0.5334752150394608,0.4509581045893895,-0.09523809523809523,0.46283950617283953,0.4509581045893895,0.4534567901234568,0.5296296296296297,0.4951832773061823,0.5183277306182335,0.06060606060606066,0.5,0.7420050464743202,0.532962962962963,0.7105482067945826,0.5101131022918732,0.5183277306182335,1.2425547669007369,0
PimaDiabetes,456,2,3.0,0.4659259259259259,0.6352283802007224,0.48437285867453467,0.6422565640442736,-0.025974025974025983,0.44753086419753085,0.6422565640442736,0.7187654320987654,0.5814814814814815,0.4673470539392327,0.5282433271260087,-0.5411255411255411,0.8,0.7291308939353632,0.701358024691358,0.8631952696148649,0.48608188831652516,0.5282433271260087,1.281658928108356,0
PimaDiabetes,789,2,3.0,0.5317283950617284,0.7887720484842643,0.48090643062710103,0.5439389908663652,0.06926406926406925,0.6275308641975308,0.5439389908663652,0.5340740740740741,0.5967901234567901,0.5004030730287714,0.510483929478343,-0.5627705627705628,0.875,0.7138987641780938,0.5450617283950617,0.7046757620187141,0.5113545672204891,0.510483929478343,1.2586930621776267,0
PimaDiabetes,101,2,3.0,0.5624691358024692,0.6886651327824106,0.5018178593597588,0.508146105911469,0.0,0.5275308641975308,0.508146105911469,0.5188888888888888,0.6097530864197531,0.49941957483856925,0.5092344030891517,-0.09956709956709958,1.0,0.7314727482325248,0.5379012345679012,0.789477460575307,0.5163768571589801,0.5092344030891517,1.2400132441135037,0
