Dataset,Seed,sampling_mode,marginal_ks,marginal_wasserstein,correlation_mae,tstr_acc,trtr_acc,tstr_minus_trtr,bal_acc,mia_rf
BreastCancer,42,uniform,0.4908528790045948,0.26722354232403667,0.4032778391048267,0.796875,0.962543808411215,-0.165668808411215,0.796875,0.5227159187751624
BreastCancer,42,gaussian,0.6223126547936998,0.2582530435342408,0.40741441583602933,0.8348422897196262,0.962543808411215,-0.12770151869158886,0.8348422897196262,0.4968335831202798
BreastCancer,123,uniform,0.47956448911222777,0.2567834984972711,0.3853343128739646,0.9250146028037383,0.970356308411215,-0.045341705607476745,0.9250146028037383,0.487466572629228
BreastCancer,123,gaussian,0.6194304857621442,0.2515135055074723,0.39127236329427206,0.8143253504672897,0.970356308411215,-0.1560309579439253,0.8143253504672897,0.49939757265861473
BreastCancer,456,uniform,0.4777899522676038,0.25772901048166436,0.40874562546469173,0.671875,0.9562646028037383,-0.28438960280373826,0.671875,0.5027623497604985
BreastCancer,456,gaussian,0.6018524115985106,0.24963616857637805,0.40730223799577336,0.9080023364485981,0.9562646028037383,-0.04826226635514019,0.9080023364485981,0.4710467542390314
BreastCancer,789,uniform,0.4772983547646335,0.2594630419983073,0.3980648359265416,0.8312646028037383,0.9875146028037383,-0.15625,0.8312646028037383,0.5082576625819154
BreastCancer,789,gaussian,0.6149372593963972,0.2492215537743108,0.397669325519096,0.7062646028037383,0.9875146028037383,-0.28125,0.7062646028037383,0.49328513914602257
BreastCancer,101,uniform,0.4705527638190955,0.2575847104951781,0.40166299220640295,0.5906834112149533,0.9672167056074766,-0.37653329439252337,0.5906834112149533,0.5077727820388492
BreastCancer,101,gaussian,0.5981541038525965,0.2455854520095808,0.4008242334707346,0.7219626168224299,0.9672167056074766,-0.24525408878504673,0.7219626168224299,0.517022245731582
PimaDiabetes,42,uniform,0.3670856610800745,0.18938945346345526,0.1910547841826819,0.6459259259259259,0.7228395061728395,-0.07691358024691364,0.6459259259259259,0.5389005780067233
PimaDiabetes,42,gaussian,0.41806331471135944,0.16096866548794886,0.19667550803800657,0.528395061728395,0.7228395061728395,-0.19444444444444453,0.528395061728395,0.5070013785097583
PimaDiabetes,123,uniform,0.38989887233602316,0.21086064689772838,0.18316126729635177,0.532962962962963,0.7693827160493827,-0.23641975308641971,0.532962962962963,0.5183277306182335
PimaDiabetes,123,gaussian,0.47638759569625494,0.1911705758676252,0.18546060518082946,0.5096296296296297,0.7693827160493827,-0.25975308641975303,0.5096296296296297,0.5303272146847566
PimaDiabetes,456,uniform,0.43403834528474944,0.23399799720756156,0.17049845255584067,0.701358024691358,0.751358024691358,-0.050000000000000044,0.701358024691358,0.5282433271260087
