Dataset,Seed,tabpe_bal_acc,tabpe_mia_rf
BreastCancer,42,0.6328125,0.46858561814922567
BreastCancer,123,0.43961740654205606,0.4805606982279821
BreastCancer,456,0.5,0.4949454876722796
BreastCancer,789,0.609375,0.509712304211114
BreastCancer,101,0.7803008177570093,0.5201592759117224
PimaDiabetes,42,0.5359259259259259,0.46382822639805876
PimaDiabetes,123,0.5792592592592593,0.44047014438075893
PimaDiabetes,456,0.4355555555555556,0.5070457165429232
PimaDiabetes,789,0.5337037037037037,0.482313155497513
PimaDiabetes,101,0.5661728395061728,0.5051149967351084
BloodTransfusion,42,0.47953216374269003,0.4765625663904822
BloodTransfusion,123,0.5155945419103314,0.49696197153176125
BloodTransfusion,456,0.5063352826510721,0.5295602294455067
BloodTransfusion,789,0.5063352826510721,0.5184363713618015
BloodTransfusion,101,0.5155945419103314,0.49322710856171664
MAGIC04,42,0.6126272656018389,0.49342030423280425
MAGIC04,123,0.6631700353724257,0.4985708994708995
MAGIC04,456,0.574988730369522,0.500541335978836
MAGIC04,789,0.6524202292912926,0.518284126984127
MAGIC04,101,0.6135897529615777,0.4915515211640212
Banknote,42,0.6768201016536617,0.5096012843851133
Banknote,123,0.7448516954208128,0.48478964401294494
Banknote,456,0.7738325339442098,0.4901016383495146
Banknote,789,0.7285179087026035,0.48625606796116505
Banknote,101,0.8612642279332808,0.49976233818770227
Ionosphere,42,0.44620743034055727,0.45506353484790146
Ionosphere,123,0.4891640866873065,0.46634578359645745
Ionosphere,456,0.42879256965944273,0.4929534077782056
Ionosphere,789,0.7012383900928792,0.5252021563342317
Ionosphere,101,0.6211300309597523,0.5086445899114362
Sonar,42,0.5,0.5027367268746579
Sonar,123,0.5,0.527312534209086
Sonar,456,0.43306288032454365,0.4395183360700602
Sonar,789,0.5542596348884381,0.4555555555555556
Sonar,101,0.5248478701825557,0.49113300492610834
Wine,42,0.6809523809523809,0.5648148148148148
Wine,123,0.44761904761904764,0.5346475507765831
Wine,456,0.5798941798941798,0.5486857825567503
Wine,789,0.5158730158730159,0.5008960573476703
Wine,101,0.6275132275132275,0.5727299880525687
WisconsinOriginal,42,0.48955722639933164,0.5236911929788753
WisconsinOriginal,123,0.3541666666666667,0.5178028370241862
WisconsinOriginal,456,0.8006474519632414,0.5044443310541892
WisconsinOriginal,789,0.4108709273182957,0.46509847943667726
WisconsinOriginal,101,0.8119256474519632,0.4936626186345546
Waveform,42,0.3041973583947168,0.5049030476190476
Waveform,123,0.3481182795698925,0.4943019047619048
Waveform,456,0.2762096774193548,0.5068811428571428
Waveform,789,0.5024024214715096,0.49678857142857147
Waveform,101,0.27662242824485644,0.4942104761904762
Vehicle,42,0.25,0.4911949350925729
Vehicle,123,0.25,0.48084698872100445
Vehicle,456,0.25,0.48171153436901465
Vehicle,789,0.25,0.4980215205362843
Vehicle,101,0.3354166666666667,0.5203766758884869
Segment,42,0.27994227994228,0.4992985781482998
Segment,123,0.14285714285714285,0.5027405426292253
Segment,456,0.12121212121212122,0.5098672028171101
Segment,789,0.07647907647907648,0.5028471837377219
Segment,101,0.21212121212121213,0.49976886989874003
Spambase,42,0.5,0.5100398711888494
Spambase,123,0.5,0.5018335574635356
Spambase,456,0.5,0.5029789827337287
Spambase,789,0.5049623568065219,0.5170958122883319
Spambase,101,0.49784001862393706,0.4886279408656074
WineQuality,42,0.1552048943353291,0.500697670484343
WineQuality,123,0.18398636054060677,0.492029966221741
WineQuality,456,0.14285714285714285,0.4969330017537627
WineQuality,789,0.1776371193274891,0.4991788330429192
WineQuality,101,0.14252759657744082,0.47879689623476734
